index,name,image_url,profile_url
1,Achilles,https://wiki.smite2.com/images/thumb/T_Achilles%28S2%29_Default_Icon.png/96px-T_Achilles%28S2%29_Default_Icon.png?a8640,https://wiki.smite2.com/w/Achilles
2,Agni,https://wiki.smite2.com/images/thumb/T_Agni%28S2%29_Default_Icon.png/96px-T_Agni%28S2%29_Default_Icon.png?c114e,https://wiki.smite2.com/w/Agni
3,Aladdin,https://wiki.smite2.com/images/thumb/T_Aladdin%28S2%29_Default_Icon.png/96px-T_Aladdin%28S2%29_Default_Icon.png?90e18,https://wiki.smite2.com/w/Aladdin
4,Amaterasu,https://wiki.smite2.com/images/thumb/T_Amaterasu%28S2%29_Default_Icon.png/96px-T_Amaterasu%28S2%29_Default_Icon.png?a1516,https://wiki.smite2.com/w/Amaterasu
5,Anhur,https://wiki.smite2.com/images/thumb/T_Anhur%28S2%29_Default_Icon.png/96px-T_Anhur%28S2%29_Default_Icon.png?85022,https://wiki.smite2.com/w/Anhur
6,Anubis,https://wiki.smite2.com/images/thumb/T_Anubis%28S2%29_Default_Icon.png/96px-T_Anubis%28S2%29_Default_Icon.png?275dd,https://wiki.smite2.com/w/Anubis
7,Aphrodite,https://wiki.smite2.com/images/thumb/T_Aphrodite%28S2%29_Default_Icon.png/96px-T_Aphrodite%28S2%29_Default_Icon.png?a1516,https://wiki.smite2.com/w/Aphrodite
8,Apollo,https://wiki.smite2.com/images/thumb/T_Apollo%28S2%29_Default_Icon.png/96px-T_Apollo%28S2%29_Default_Icon.png?c95f2,https://wiki.smite2.com/w/Apollo
9,Ares,https://wiki.smite2.com/images/thumb/T_Ares%28S2%29_Default_Icon.png/96px-T_Ares%28S2%29_Default_Icon.png?ac0fe,https://wiki.smite2.com/w/Ares
10,Artemis,https://wiki.smite2.com/images/thumb/T_Artemis%28S2%29_Default_Icon.png/96px-T_Artemis%28S2%29_Default_Icon.png?8669a,https://wiki.smite2.com/w/Artemis
11,Athena,https://wiki.smite2.com/images/thumb/T_Athena%28S2%29_Default_Icon.png/96px-T_Athena%28S2%29_Default_Icon.png?a156c,https://wiki.smite2.com/w/Athena
12,Awilix,https://wiki.smite2.com/images/thumb/T_Awilix%28S2%29_Default_Icon.png/96px-T_Awilix%28S2%29_Default_Icon.png?3141c,https://wiki.smite2.com/w/Awilix
13,Bacchus,https://wiki.smite2.com/images/thumb/T_Bacchus%28S2%29_Default_Icon.png/96px-T_Bacchus%28S2%29_Default_Icon.png?3baa6,https://wiki.smite2.com/w/Bacchus
14,Baron Samedi,https://wiki.smite2.com/images/thumb/T_Baron_Samedi%28S2%29_Default_Icon.png/96px-T_Baron_Samedi%28S2%29_Default_Icon.png?a1516,https://wiki.smite2.com/w/Baron_Samedi
15,Bellona,https://wiki.smite2.com/images/thumb/T_Bellona%28S2%29_Default_Icon.png/96px-T_Bellona%28S2%29_Default_Icon.png?8a6f7,https://wiki.smite2.com/w/Bellona
16,Cabrakan,https://wiki.smite2.com/images/thumb/T_Cabrakan%28S2%29_Default_Icon.png/96px-T_Cabrakan%28S2%29_Default_Icon.png?a1516,https://wiki.smite2.com/w/Cabrakan
17,Cerberus,https://wiki.smite2.com/images/thumb/T_Cerberus%28S2%29_Default_Icon.png/96px-T_Cerberus%28S2%29_Default_Icon.png?e04b1,https://wiki.smite2.com/w/Cerberus
18,Cernunnos,https://wiki.smite2.com/images/thumb/T_Cernunnos%28S2%29_Default_Icon.png/96px-T_Cernunnos%28S2%29_Default_Icon.png?6f390,https://wiki.smite2.com/w/Cernunnos
19,Chaac,https://wiki.smite2.com/images/thumb/T_Chaac%28S2%29_Default_Icon.png/96px-T_Chaac%28S2%29_Default_Icon.png?7b8c5,https://wiki.smite2.com/w/Chaac
20,Cupid,https://wiki.smite2.com/images/thumb/T_Cupid%28S2%29_Default_Icon.png/96px-T_Cupid%28S2%29_Default_Icon.png?2c510,https://wiki.smite2.com/w/Cupid
21,Danzaburou,https://wiki.smite2.com/images/thumb/T_Danzaburou%28S2%29_Default_Icon.png/96px-T_Danzaburou%28S2%29_Default_Icon.png?b3a4d,https://wiki.smite2.com/w/Danzaburou
22,Fenrir,https://wiki.smite2.com/images/thumb/T_Fenrir%28S2%29_Default_Icon.png/96px-T_Fenrir%28S2%29_Default_Icon.png?66794,https://wiki.smite2.com/w/Fenrir
23,Ganesha,https://wiki.smite2.com/images/thumb/T_Ganesha_Default_Icon.png/96px-T_Ganesha_Default_Icon.png?512d5,https://wiki.smite2.com/w/Ganesha
24,Geb,https://wiki.smite2.com/images/thumb/T_Geb%28S2%29_Default_Icon.png/96px-T_Geb%28S2%29_Default_Icon.png?b3a4d,https://wiki.smite2.com/w/Geb
25,Guan Yu,https://wiki.smite2.com/images/thumb/T_Guan_Yu%28S2%29_Default_Icon.png/96px-T_Guan_Yu%28S2%29_Default_Icon.png?bc648,https://wiki.smite2.com/w/Guan_Yu
26,Hades,https://wiki.smite2.com/images/thumb/T_Hades%28S2%29_Default_Icon.png/96px-T_Hades%28S2%29_Default_Icon.png?056c7,https://wiki.smite2.com/w/Hades
27,Hecate,https://wiki.smite2.com/images/thumb/T_Hecate%28S2%29_Default_Icon.png/96px-T_Hecate%28S2%29_Default_Icon.png?7efca,https://wiki.smite2.com/w/Hecate
28,Hercules,https://wiki.smite2.com/images/thumb/T_Hercules%28S2%29_Default_Icon.png/96px-T_Hercules%28S2%29_Default_Icon.png?a1516,https://wiki.smite2.com/w/Hercules
29,Hou Yi,https://wiki.smite2.com/images/thumb/T_HouYi_Default_Icon.png/96px-T_HouYi_Default_Icon.png?2765c,https://wiki.smite2.com/w/Hou_Yi
30,Hua Mulan,https://wiki.smite2.com/images/thumb/T_Hua_Mulan%28S2%29_Default_Icon.png/96px-T_Hua_Mulan%28S2%29_Default_Icon.png?a1516,https://wiki.smite2.com/w/Hua_Mulan
31,Hun Batz,https://wiki.smite2.com/images/thumb/T_Hun_Batz%28S2%29_Default_Icon.png/96px-T_Hun_Batz%28S2%29_Default_Icon.png?3f007,https://wiki.smite2.com/w/Hun_Batz
32,Izanami,https://wiki.smite2.com/images/thumb/T_Izanami%28S2%29_Default_Icon.png/96px-T_Izanami%28S2%29_Default_Icon.png?b3a4d,https://wiki.smite2.com/w/Izanami
33,Janus,https://wiki.smite2.com/images/thumb/T_Janus_Default_Icon.png/96px-T_Janus_Default_Icon.png?1685a,https://wiki.smite2.com/w/Janus
34,Jing Wei,https://wiki.smite2.com/images/thumb/T_JingWei%28S2%29_Default_Icon.png/96px-T_JingWei%28S2%29_Default_Icon.png?8d169,https://wiki.smite2.com/w/Jing_Wei
35,Kali,https://wiki.smite2.com/images/thumb/T_Kali%28S2%29_Default_Icon.png/96px-T_Kali%28S2%29_Default_Icon.png?70288,https://wiki.smite2.com/w/Kali
36,Khepri,https://wiki.smite2.com/images/thumb/T_Khepri%28S2%29_Default_Icon.png/96px-T_Khepri%28S2%29_Default_Icon.png?b3a4d,https://wiki.smite2.com/w/Khepri
37,Kukulkan,https://wiki.smite2.com/images/thumb/T_Kukulkan%28S2%29_Default_Icon.png/96px-T_Kukulkan%28S2%29_Default_Icon.png?d4251,https://wiki.smite2.com/w/Kukulkan
38,Loki,https://wiki.smite2.com/images/thumb/T_Loki%28S2%29_Default_Icon.png/96px-T_Loki%28S2%29_Default_Icon.png?a44d0,https://wiki.smite2.com/w/Loki
39,Medusa,https://wiki.smite2.com/images/thumb/T_Medusa%28S2%29_Default_Icon.png/96px-T_Medusa%28S2%29_Default_Icon.png?b3a4d,https://wiki.smite2.com/w/Medusa
40,Mercury,https://wiki.smite2.com/images/thumb/T_Mercury_Default_Icon.png/96px-T_Mercury_Default_Icon.png?cbce8,https://wiki.smite2.com/w/Mercury
41,Merlin,https://wiki.smite2.com/images/thumb/T_Merlin%28S2%29_Default_Icon.png/96px-T_Merlin%28S2%29_Default_Icon.png?2013a,https://wiki.smite2.com/w/Merlin
42,Mordred,https://wiki.smite2.com/images/thumb/T_Mordred%28S2%29_Default_Icon.png/96px-T_Mordred%28S2%29_Default_Icon.png?cfb59,https://wiki.smite2.com/w/Mordred
43,Neith,https://wiki.smite2.com/images/thumb/T_Neith%28S2%29_Default_Icon.png/96px-T_Neith%28S2%29_Default_Icon.png?73218,https://wiki.smite2.com/w/Neith
44,Nemesis,https://wiki.smite2.com/images/thumb/T_Nemesis%28S2%29_Default_Icon.png/96px-T_Nemesis%28S2%29_Default_Icon.png?b3a4d,https://wiki.smite2.com/w/Nemesis
45,Nu Wa,https://wiki.smite2.com/images/thumb/T_Nu_Wa%28S2%29_Default_Icon.png/96px-T_Nu_Wa%28S2%29_Default_Icon.png?a1516,https://wiki.smite2.com/w/Nu_Wa
46,Odin,https://wiki.smite2.com/images/thumb/T_Odin%28S2%29_Default_Icon.png/96px-T_Odin%28S2%29_Default_Icon.png?2ee32,https://wiki.smite2.com/w/Odin
47,Pele,https://wiki.smite2.com/images/thumb/T_Pele%28S2%29_Default_Icon.png/96px-T_Pele%28S2%29_Default_Icon.png?a1516,https://wiki.smite2.com/w/Pele
48,Poseidon,https://wiki.smite2.com/images/thumb/T_Poseidon%28S2%29_Default_Icon.png/96px-T_Poseidon%28S2%29_Default_Icon.png?a1516,https://wiki.smite2.com/w/Poseidon
49,Princess Bari,https://wiki.smite2.com/images/thumb/T_Princess_Bari%28S2%29_Default_Icon.png/96px-T_Princess_Bari%28S2%29_Default_Icon.png?1a2f0,https://wiki.smite2.com/w/Princess_Bari
50,Ra,https://wiki.smite2.com/images/thumb/T_Ra%28S2%29_Default_Icon.png/96px-T_Ra%28S2%29_Default_Icon.png?a1516,https://wiki.smite2.com/w/Ra
51,Rama,https://wiki.smite2.com/images/thumb/T_Rama%28S2%29_Default_Icon.png/96px-T_Rama%28S2%29_Default_Icon.png?a8743,https://wiki.smite2.com/w/Rama
52,Scylla,https://wiki.smite2.com/images/thumb/T_Scylla_Default_Icon.png/96px-T_Scylla_Default_Icon.png?43b80,https://wiki.smite2.com/w/Scylla
53,Sobek,https://wiki.smite2.com/images/thumb/T_Sobek%28S2%29_Default_Icon.png/96px-T_Sobek%28S2%29_Default_Icon.png?b3a4d,https://wiki.smite2.com/w/Sobek
54,Sol,https://wiki.smite2.com/images/thumb/T_Sol%28S2%29_Default_Icon.png/96px-T_Sol%28S2%29_Default_Icon.png?e37a0,https://wiki.smite2.com/w/Sol
55,Sun Wukong,https://wiki.smite2.com/images/thumb/T_SunWukong_Default_Icon.png/96px-T_SunWukong_Default_Icon.png?303e7,https://wiki.smite2.com/w/Sun_Wukong
56,Susano,https://wiki.smite2.com/images/thumb/T_Susano%28S2%29_Default_Icon.png/96px-T_Susano%28S2%29_Default_Icon.png?24b0a,https://wiki.smite2.com/w/Susano
57,Thanatos,https://wiki.smite2.com/images/thumb/T_Thanatos%28S2%29_Default_Icon.png/96px-T_Thanatos%28S2%29_Default_Icon.png?bb1ee,https://wiki.smite2.com/w/Thanatos
58,The Morrigan,https://wiki.smite2.com/images/thumb/T_The_Morrigan%28S2%29_Default_Icon.png/96px-T_The_Morrigan%28S2%29_Default_Icon.png?188e1,https://wiki.smite2.com/w/The_Morrigan
59,Thor,https://wiki.smite2.com/images/thumb/T_Thor%28S2%29_Default_Icon.png/96px-T_Thor%28S2%29_Default_Icon.png?a1516,https://wiki.smite2.com/w/Thor
60,Ullr,https://wiki.smite2.com/images/thumb/T_Ullr%28S2%29_Default_Icon.png/96px-T_Ullr%28S2%29_Default_Icon.png?a1516,https://wiki.smite2.com/w/Ullr
61,Vulcan,https://wiki.smite2.com/images/thumb/T_Vulcan%28S2%29_Default_Icon.png/96px-T_Vulcan%28S2%29_Default_Icon.png?68221,https://wiki.smite2.com/w/Vulcan
62,Yemoja,https://wiki.smite2.com/images/thumb/T_Yemoja%28S2%29_Default_Icon.png/96px-T_Yemoja%28S2%29_Default_Icon.png?b3a4d,https://wiki.smite2.com/w/Yemoja
63,Ymir,https://wiki.smite2.com/images/thumb/T_Ymir%28S2%29_Default_Icon.png/96px-T_Ymir%28S2%29_Default_Icon.png?fc417,https://wiki.smite2.com/w/Ymir
64,Zeus,https://wiki.smite2.com/images/thumb/T_Zeus%28S2%29_Default_Icon.png/96px-T_Zeus%28S2%29_Default_Icon.png?d376a,https://wiki.smite2.com/w/Zeus
